日期,收市,開市,高,低,成交量,更改%
2021年5月31日,"2,708.47","2,386.93","2,713.98","2,279.42",2.83M,13.51%
2021年5月30日,"2,386.10","2,276.97","2,465.84","2,181.93",2.80M,4.83%
2021年5月29日,"2,276.07","2,411.68","2,567.42","2,207.21",2.94M,-5.73%
2021年5月28日,"2,414.29","2,742.39","2,760.17","2,332.43",3.26M,-11.75%
2021年5月27日,"2,735.88","2,885.02","2,885.87","2,638.62",2.39M,-5.16%
2021年5月26日,"2,884.66","2,705.69","2,908.37","2,648.10",2.66M,6.64%
2021年5月25日,"2,705.09","2,647.27","2,747.49","2,388.81",3.28M,2.20%
2021年5月24日,"2,646.79","2,101.30","2,667.20","2,080.87",3.24M,25.96%
2021年5月23日,"2,101.34","2,292.68","2,379.89","1,739.91",3.52M,-8.30%
2021年5月22日,"2,291.60","2,433.09","2,481.06","2,162.84",2.82M,-5.82%
2021年5月21日,"2,433.11","2,766.88","2,931.66","2,111.42",4.23M,-12.40%
2021年5月20日,"2,777.55","2,436.59","2,988.52","2,163.40",4.33M,14.04%
2021年5月19日,"2,435.69","3,376.22","3,434.01","1,922.25",6.42M,-27.89%
2021年5月18日,"3,377.55","3,280.50","3,558.57","3,244.93",2.30M,2.98%
2021年5月17日,"3,279.68","3,582.19","3,582.27","3,130.12",2.85M,-8.44%
2021年5月16日,"3,582.12","3,643.67","3,877.20","3,351.92",2.28M,-1.63%
2021年5月15日,"3,641.65","4,074.57","4,129.99","3,639.12",1.94M,-10.64%
2021年5月14日,"4,075.38","3,719.46","4,171.76","3,694.54",2.06M,9.56%
2021年5月13日,"3,719.62","3,807.50","4,031.99","3,539.96",3.21M,-2.42%
2021年5月12日,"3,811.77","4,173.61","4,366.10","3,794.15",2.78M,-8.54%
2021年5月11日,"4,167.78","3,948.66","4,177.53","3,781.86",1.27M,5.57%
2021年5月10日,"3,947.90","3,923.48","4,203.98","3,669.84",2.70M,0.65%
2021年5月9日,"3,922.23","3,905.69","3,979.77","3,734.44",1.94M,0.43%
2021年5月8日,"3,905.55","3,479.81","3,952.88","3,453.37",1.34M,12.19%
2021年5月7日,"3,481.22","3,490.83","3,583.34","3,363.56",1.35M,-0.24%
2021年5月6日,"3,489.52","3,522.74","3,601.59","3,380.60",1.51M,-0.94%
2021年5月5日,"3,522.76","3,284.31","3,540.78","3,228.86",1.87M,7.18%
2021年5月4日,"3,286.71","3,429.48","3,516.34","3,188.90",2.74M,-4.16%
2021年5月3日,"3,429.37","2,950.07","3,451.44","2,950.07",2.32M,16.24%
2021年5月2日,"2,950.33","2,945.04","2,984.52","2,854.12",1.30M,0.19%
2021年5月1日,"2,944.66","2,772.27","2,951.74","2,753.60",1.51M,6.20%
2021年4月30日,"2,772.78","2,757.02","2,797.61","2,726.03",1.52M,0.56%
2021年4月29日,"2,757.36","2,746.51","2,797.52","2,670.35",1.65M,0.39%
2021年4月28日,"2,746.54","2,665.83","2,759.03","2,562.74",1.74M,3.05%
2021年4月27日,"2,665.24","2,531.07","2,677.95","2,484.44",1.45M,5.22%
2021年4月26日,"2,533.12","2,320.63","2,539.80","2,305.97",1.79M,9.35%
2021年4月25日,"2,316.48","2,217.23","2,355.20","2,169.91",1.02M,4.54%
2021年4月24日,"2,215.93","2,367.35","2,367.46","2,159.60",1.61M,-6.39%
2021年4月23日,"2,367.31","2,398.95","2,440.21","2,119.26",3.46M,-1.41%
2021年4月22日,"2,401.10","2,360.32","2,642.99","2,313.46",3.17M,1.71%
2021年4月21日,"2,360.81","2,331.84","2,467.51","2,238.15",2.10M,1.23%
2021年4月20日,"2,332.14","2,161.06","2,345.18","2,058.00",1.86M,7.94%
2021年4月19日,"2,160.63","2,236.10","2,275.87","2,081.30",1.90M,-3.42%
2021年4月18日,"2,237.17","2,317.88","2,338.53","1,948.93",2.76M,-3.50%
2021年4月17日,"2,318.33","2,424.12","2,493.93","2,314.12",1.73M,-4.33%
2021年4月16日,"2,423.18","2,514.55","2,544.54","2,302.30",2.08M,-3.62%
2021年4月15日,"2,514.22","2,432.90","2,541.90","2,402.75",1.91M,3.40%
2021年4月14日,"2,431.56","2,299.25","2,445.40","2,281.49",2.11M,5.72%
2021年4月13日,"2,299.93","2,137.55","2,315.47","2,136.49",2.38M,7.58%
2021年4月12日,"2,137.81","2,150.79","2,199.52","2,103.73",2.16M,-0.63%
2021年4月11日,"2,151.42","2,133.89","2,164.76","2,114.55",1.97M,0.83%
2021年4月10日,"2,133.79","2,067.26","2,197.73","2,058.23",2.09M,3.23%
2021年4月9日,"2,066.93","2,080.20","2,101.07","2,050.39",2.47M,-0.62%
2021年4月8日,"2,079.92","1,962.44","2,084.08","1,951.83",1.73M,6.04%
2021年4月7日,"1,961.46","2,112.41","2,128.25","1,939.64",2.30M,-7.11%
2021年4月6日,"2,111.53","2,108.81","2,150.78","2,047.48",1.93M,0.24%
2021年4月5日,"2,106.41","2,076.14","2,127.89","2,004.05",2.31M,1.47%
2021年4月4日,"2,075.94","2,007.82","2,091.31","1,982.00",1.59M,3.35%
2021年4月3日,"2,008.59","2,134.66","2,137.68","2,004.40",2.01M,-5.90%
2021年4月2日,"2,134.55","1,968.12","2,144.11","1,949.99",2.47M,8.47%
2021年4月1日,"1,967.96","1,918.82","1,983.84","1,897.38",2.08M,2.61%
2021年3月31日,"1,917.99","1,841.01","1,945.40","1,774.66",2.59M,4.18%
2021年3月30日,"1,841.01","1,816.92","1,857.65","1,788.60",3.03M,1.34%
2021年3月29日,"1,816.69","1,686.88","1,839.41","1,678.38",1.94M,7.70%
