日期,收市,開市,高,低,成交量,更改%
2013年6月1日,129.3,128.8,129.8,127.1,6.36K,0.37%
2013年6月2日,122.5,129.3,130.1,115,101.14K,-5.26%
2013年6月3日,120.7,122.5,122.8,115.1,28.90K,-1.44%
2013年6月4日,121.4,120.7,124,118.8,21.95K,0.55%
2013年6月5日,121.9,121.4,123.5,119.5,16.64K,0.41%
2013年6月6日,119,121.9,123.3,117,22.10K,-2.40%
2013年6月7日,111,119,119.1,106.2,65.77K,-6.70%
2013年6月8日,107.9,111,113.2,107,17.22K,-2.80%
2013年6月9日,100.4,107.9,109,88,149.43K,-6.91%
2013年6月10日,106.3,100.4,110.6,95,64.32K,5.88%
2013年6月11日,109,106.3,109.6,103.2,16.13K,2.49%
2013年6月12日,108.8,109,112.3,106,17.70K,-0.20%
2013年6月13日,103.9,108.8,110.3,100.3,30.44K,-4.44%
2013年6月14日,100,103.9,104.7,97.1,36.05K,-3.80%
2013年6月15日,99.8,100,103.7,97.5,22.53K,-0.20%
2013年6月16日,99.9,99.8,101.8,98.9,8.66K,0.10%
2013年6月17日,101.9,99.9,102.4,98.9,15.19K,2.05%
2013年6月18日,107.3,101.9,113.3,101,60.61K,5.30%
2013年6月19日,108.3,107.3,111,104.7,17.57K,0.84%
2013年6月20日,111.3,108.3,114.5,107.1,43.09K,2.81%
2013年6月21日,109.5,111.3,115,107.6,38.08K,-1.61%
2013年6月22日,108.2,109.5,110,107.5,7.28K,-1.19%
2013年6月23日,107.9,108.2,109,106.2,11.05K,-0.28%
2013年6月24日,102.1,107.9,108.3,100.8,28.90K,-5.38%
2013年6月25日,103.3,102.1,110,100,93.71K,1.21%
2013年6月26日,104,103.3,105.5,101.8,13.23K,0.65%
2013年6月27日,101.7,104,104,100.1,14.73K,-2.17%
2013年6月28日,94.7,101.7,101.8,92.3,47.77K,-6.96%
2013年6月29日,95,94.7,100.4,93,25.54K,0.36%
2013年6月30日,97.5,95,98.1,93.8,8.58K,2.64%
2013年7月1日,88.1,97.5,98.2,86,53.17K,-9.70%
2013年7月2日,90.4,88.1,92.6,87.5,27.77K,2.68%
2013年7月3日,78.9,90.4,91.2,76,73.62K,-12.74%
2013年7月4日,80,78.9,84.3,72,63.55K,1.46%
2013年7月5日,68.5,80,80.6,65.4,91.06K,-14.42%
2013年7月6日,69.7,68.5,75,66.8,41.04K,1.69%
2013年7月7日,76.5,69.7,77,66.6,42.95K,9.82%
2013年7月8日,76,76.5,80,72.5,58.99K,-0.65%
2013年7月9日,76.7,76,78.3,72.5,32.52K,0.92%
2013年7月10日,88,76.7,89.8,75.5,60.07K,14.73%
2013年7月11日,89,88,90.7,85,35.57K,1.11%
2013年7月12日,94,89,104.2,88,101.55K,5.63%
2013年7月13日,98.3,94,98.3,87.8,34.46K,4.61%
2013年7月14日,94.4,98.3,99,92.9,12.34K,-3.97%
2013年7月15日,98.9,94.4,101.9,93.1,34.51K,4.73%
2013年7月16日,97.1,98.9,100.7,96,16.53K,-1.81%
2013年7月17日,98.5,97.1,100,96.2,17.27K,1.44%
2013年7月18日,90.1,98.5,98.8,86.2,59.50K,-8.56%
2013年7月19日,92,90.1,95.2,87.6,27.68K,2.14%
2013年7月20日,89.8,92,93.1,89.3,9.43K,-2.37%
2013年7月21日,92,89.8,92,88,8.77K,2.43%
2013年7月22日,91.6,92,92,89.8,9.10K,-0.43%
2013年7月23日,95.6,91.6,97.1,91.6,24.61K,4.32%
2013年7月24日,95.1,95.6,96,92.3,14.60K,-0.49%
2013年7月25日,96.9,95.1,97.5,93.6,22.51K,1.96%
2013年7月26日,96,96.9,97.5,96,11.15K,-0.96%
2013年7月27日,94.4,96,97,93,15.12K,-1.69%
2013年7月28日,98.8,94.4,100.6,94,42.23K,4.64%
2013年7月29日,101.5,98.8,102.8,98.4,24.74K,2.73%
2013年7月30日,108,101.5,108,100.5,27.85K,6.39%
2013年7月31日,106.2,108,111.7,103.6,45.50K,-1.62%
2013年8月1日,104,106.2,108,103,15.02K,-2.08%
2013年8月2日,104.5,104,108,101.2,27.50K,0.48%
2013年8月3日,104.9,104.5,105.9,102,8.90K,0.43%
2013年8月4日,105.1,104.9,106,103.5,6.38K,0.16%
2013年8月5日,106.7,105.1,107.8,105,15.44K,1.52%
2013年8月6日,106.6,106.7,107.5,105.1,13.41K,-0.15%
2013年8月7日,106,106.6,107,105.2,7.72K,-0.53%
2013年8月8日,103.1,106,106.7,101,24.02K,-2.77%
2013年8月9日,102.8,103.1,105.8,101.9,12.04K,-0.24%
2013年8月10日,103,102.8,103.9,102.4,4.00K,0.19%
2013年8月11日,105,103,105.2,102.7,8.17K,1.94%
2013年8月12日,106.8,105,108.1,103.5,20.08K,1.72%
2013年8月13日,109.6,106.8,109.6,104.5,18.75K,2.61%
2013年8月14日,112.6,109.6,115,108,50.57K,2.70%
2013年8月15日,110,112.6,113.3,108.8,15.86K,-2.28%
2013年8月16日,109,110,112.3,108.2,13.54K,-0.91%
2013年8月17日,112.8,109,114,108.2,12.78K,3.45%
2013年8月18日,113.4,112.8,114.7,112,9.62K,0.56%
2013年8月19日,118.5,113.4,123.8,111.8,53.07K,4.52%
2013年8月20日,121.2,118.5,123,116.8,24.29K,2.28%
2013年8月21日,123.3,121.2,125,119.7,30.64K,1.73%
2013年8月22日,122,123.3,124.5,120.5,13.96K,-1.05%
2013年8月23日,118.5,122,122,118.4,19.47K,-2.86%
2013年8月24日,119.6,118.5,121.4,118,8.96K,0.92%
2013年8月25日,122.1,119.6,123,119.1,7.44K,2.10%
2013年8月26日,120.1,122.1,123,119.9,11.44K,-1.67%
2013年8月27日,131.3,120.1,133,120,53.85K,9.34%
2013年8月28日,128.8,131.3,131.7,128,12.56K,-1.93%
2013年8月29日,129.3,128.8,131.2,128.2,8.22K,0.42%
2013年8月30日,138,129.3,142.8,128.6,46.07K,6.75%
2013年8月31日,141,138,148.7,135.9,31.15K,2.15%
2013年9月1日,146,141,147.3,141,14.10K,3.55%
2013年9月2日,144,146,148.5,142.1,10.65K,-1.38%
2013年9月3日,144,144,148.9,142.2,17.00K,0.00%
2013年9月4日,132.5,144,145.8,130.1,28.75K,-7.98%
2013年9月5日,130.2,132.5,138,127.2,27.03K,-1.74%
2013年9月6日,121.9,130.2,134,121.9,19.17K,-6.37%
2013年9月7日,129,121.9,131,121.3,14.19K,5.82%
2013年9月8日,126.3,129,129.9,124.1,7.35K,-2.07%
2013年9月9日,133.1,126.3,137.5,124,29.69K,5.37%
2013年9月10日,132.6,133.1,136,131.4,8.88K,-0.36%
2013年9月11日,142.1,132.6,145.9,127.5,41.56K,7.15%
2013年9月12日,139.4,142.1,145.5,137.5,20.53K,-1.94%
2013年9月13日,140.7,139.4,145.6,137.8,20.12K,0.94%
2013年9月14日,136.7,140.7,142,136.5,8.90K,-2.81%
2013年9月15日,138.3,136.7,141,135,6.44K,1.16%
2013年9月16日,139.4,138.3,142.2,137.9,10.61K,0.81%
2013年9月17日,139.1,139.4,141.4,138,9.64K,-0.19%
2013年9月18日,140.4,139.1,142,139,9.49K,0.91%
2013年9月19日,135.1,140.4,141.2,131.1,21.02K,-3.82%
2013年9月20日,133.8,135.1,137.3,131,11.05K,-0.92%
2013年9月21日,134.4,133.8,136,132,5.09K,0.43%
2013年9月22日,134,134.4,135,131,5.89K,-0.28%
2013年9月23日,133.4,134,135,132,6.00K,-0.45%
2013年9月24日,134.8,133.4,136.6,132.5,8.58K,1.03%
2013年9月25日,135,134.8,138,134.7,9.52K,0.16%
2013年9月26日,137.1,135,139,134.7,6.54K,1.56%
2013年9月27日,138.9,137.1,142.7,134.8,27.14K,1.33%
2013年9月28日,142.5,138.9,143,138,13.66K,2.57%
2013年9月29日,143.9,142.5,145.8,141.4,18.10K,0.97%
2013年9月30日,141.9,143.9,145.8,138.1,14.63K,-1.38%
2013年10月1日,140.3,141.9,144.4,139.4,9.57K,-1.13%
2013年10月2日,123,140.3,141.9,109.7,111.32K,-12.33%
2013年10月3日,131,123,132,120.1,35.27K,6.50%
2013年10月4日,136.8,131,139.8,128.5,18.51K,4.45%
2013年10月5日,136.7,136.8,138,135.3,5.00K,-0.09%
2013年10月6日,137.8,136.7,138,134.1,4.89K,0.80%
2013年10月7日,135.8,137.8,139,135.1,7.36K,-1.45%
2013年10月8日,136.5,135.8,137.8,135.6,5.23K,0.51%
2013年10月9日,139.5,136.5,142.1,135.8,17.49K,2.21%
2013年10月10日,140.4,139.5,141.7,138.5,11.08K,0.65%
2013年10月11日,140.1,140.4,141.9,138.9,7.25K,-0.22%
2013年10月12日,142.9,140.1,143.1,139.4,11.02K,1.99%
2013年10月13日,147.5,142.9,147.6,141.5,16.17K,3.25%
2013年10月14日,151.4,147.5,153.7,146,29.99K,2.60%
2013年10月15日,158.1,151.4,158.1,150.6,15.73K,4.44%
2013年10月16日,152.8,158.1,163,144.2,42.78K,-3.33%
2013年10月17日,157.6,152.8,159.9,150.8,15.88K,3.12%
2013年10月18日,168.3,157.6,168.3,156.5,25.89K,6.78%
2013年10月19日,183.1,168.3,195.8,167.1,55.28K,8.84%
2013年10月20日,186.1,183.1,186.1,177.2,11.42K,1.61%
2013年10月21日,192.8,186.1,197.4,183.2,24.10K,3.59%
2013年10月22日,203,192.8,205.5,192.8,33.87K,5.30%
2013年10月23日,228,203,228,200.7,39.90K,12.31%
2013年10月24日,207,228,233.4,175.3,96.75K,-9.21%
2013年10月25日,197.9,207,209,176.6,36.75K,-4.40%
2013年10月26日,188.6,197.9,198.4,187,12.09K,-4.71%
2013年10月27日,206.9,188.6,207.8,188.9,13.16K,9.73%
2013年10月28日,206.9,206.9,209.8,200.4,11.07K,0.00%
2013年10月29日,216,206.9,216.5,204.2,10.02K,4.40%
2013年10月30日,208,216,216.5,204,13.47K,-3.70%
2013年10月31日,211.2,208,215,205.4,5.29K,1.52%
2013年11月1日,213.4,211.2,214.9,209.7,5.88K,1.07%
2013年11月2日,211.7,213.4,214.9,211,4.88K,-0.82%
2013年11月3日,224,211.7,226.9,212.1,12.27K,5.82%
2013年11月4日,238.2,224,239,221.9,18.06K,6.32%
2013年11月5日,251.3,238.2,258.9,229,45.10K,5.52%
2013年11月6日,264.1,251.3,272.5,251.4,38.82K,5.09%
2013年11月7日,309.6,264.1,324.2,263.6,86.13K,17.25%
2013年11月8日,355,309.6,358,308,44.63K,14.65%
2013年11月9日,367.8,355,395,340,49.91K,3.60%
2013年11月10日,336.3,367.8,372.5,290,74.25K,-8.56%
2013年11月11日,363,336.3,376,321.4,18.00K,7.93%
2013年11月12日,380,363,391.8,359,22.03K,4.70%
2013年11月13日,434.9,380,445,372.2,36.02K,14.42%
2013年11月14日,433.4,434.9,447.5,402.5,31.41K,-0.33%
2013年11月15日,433.9,433.4,457.9,413,28.13K,0.12%
2013年11月16日,462,433.9,476.9,428,19.14K,6.46%
2013年11月17日,528.3,462,536.8,457,26.72K,14.36%
2013年11月18日,785.4,528.3,787.9,522,72.07K,48.67%
2013年11月19日,645.7,785.4,900.9,502.6,99.10K,-17.79%
