,0
0,巴斯勒莫斯．范．德．赫斯特 Bartholomeus van der Helst
1,弗雷德里克．麥卡賓 Frederick McCubbin
2,吉奧僑尼 Giorgio o Zorzi da Castelfranco
3,拉斐爾 Raffaello Sanzio
4,漢特 William Holman Hunt
5,根茲巴羅 Thomas Gainsborough
6,馬奈 Edouard Manet
7,威雅爾 Edouard Vuillard
8,康斯坦丁．麥考夫斯基 Konstantin Makovsky
9,竇加 Edgar Degas
10,霍加斯 William Hogarth
11,阿爾伯特．林奇 Albert Lynch
12,普桑 Nicolas Poussin
13,芙烈達．卡蘿 Frida Kahlo
14,布勒哲爾 Pieter Bruegel the Elder
15,孟克 Edvard Munch
16,埃瑪紐埃爾．洛伊茨 Emanuel Leutze
17,朱爾斯．布荷東 Jules Breton
18,馬爾克 Franz Marc
19,牟里羅 Bartolome Esteban Murillo
20,卡羅利．費倫齊 Karoly Ferenczy
21,埃金斯 Thomas Eakins
22,布隆津諾 Agnolo Bronzino
23,施賴弗 Louis Marie de Schryver
24,希斯里 Alfred Sisley
25,熱拉爾 Francois Pascal Simon Gerard
26,瑪格利特 Rene Magritte
27,杜米爾 Honore Daumier
28,保羅．委羅內塞 Paolo Veronese
29,史坦 Jan Steen
30,列斐伏爾 Jules Joseph Lefebvre
31,天梭 James Jacques Joseph Tissot
32,哈山姆 Childe Hassam
33,高爾培 Gustave Courbet
34,提香 Titian
35,達文西 Leonardo Da Vinci
36,雷捷 Fernand Leger
37,溫特哈爾特 Franz Xaver Winterhalter
38,卡莎特 Mary Cassatt
39,夏卡爾 Marc Chagall
40,柯雷吉歐 Antonio Allegri da Correggio
41,杜菲 Raoul Dufy
42,皮埃爾．喬治．珍尼歐 Pierre George Jeanniot
43,法蘭克．韋斯頓．本森 Frank Weston Benson
44,卡拉瓦喬 Michelangelo Merisi da Caravaggio
45,萊頓 Edmund Blair Leighton
46,米勒 Jean Francois Millet
47,海耶茲 Francesco Hayez
48,裘利恩．杜普荷 Julien Dupre
49,格樂茲 Jean Baptiste Greuze
50,塞尚 Paul Cezanne
51,埃羅．耶爾內費爾特 Eero Jarnefelt
52,魯本斯 Peter Paul Rubens
53,威梅爾 Johannes Vermeer
54,梅爾魏契 Kasimir Malevich
55,德洛涅 Robert Delaunay
56,亞瑟．約翰．埃斯利 Arthur John Elsley
57,愛德華．約瑟夫．丹坦 Edouard Joseph Dantan
58,巴斯蒂昂．勒帕吉 Jules Bastien Lepage
59,達利 Salvador Dali
60,喬爾喬．瓦薩里 Giorgio Vasari
