time,label,name,painter,pigment,tag,attribute,img_src
超現實主義,Magritte001,人子 The Son of Man,瑪格利特 Rene Magritte,油彩．畫布 Oil on Canvas,#The#Son#Man#Magritte001,男子,https://www.ss.net.tw/images/product_images/popup_images/Magritte001.webp
巴洛克藝術,LeBrun029,藝術家的兄弟 The Artist’s Brother,勒布倫 Elisabeth Vigee Le Brun,油彩．畫布 Oil on canvas,#藝術家的兄弟#The#Artist’s#Brother#LeBrun029,男子,https://www.ss.net.tw/images/product_images/popup_images/9570_01583899978.webp
後期印象主義,VanGogh065,戴氈帽的自畫像 Self-Portrait with Felt Hat,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#戴氈帽的自畫像#Self#Portrait#with#Felt#Hat#VanGogh065,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh065.webp
超現實主義,Magritte010,偉大的戰爭 The Great War,瑪格利特 Rene Magritte,油彩．畫布 Oil on Canvas,#偉大的戰爭#The#Great#War#Magritte010,男子,https://www.ss.net.tw/images/product_images/popup_images/Magritte010.webp
後期印象主義,VanGogh194,耳朵包著繃帶的自畫像 Self-Portrait with Bandaged Ear,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#耳朵包著繃帶的自畫像#Self#Portrait#with#Bandaged#Ear#VanGogh194,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh194.webp
浪漫主義,Friedrich006,霧海上的旅者 The Wanderer above the Mists,弗里德里希 Caspar David Friedrich,油彩．畫布 Oil on Canvas,#霧海上的旅者#The#Wanderer#above#the#Mists#Friedrich006,男子,https://www.ss.net.tw/images/product_images/popup_images/2847_01550935657.webp
後期印象主義,VanGogh068,綁繃帶的自畫像 Self - portrait with bandaged ear and pipe,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#綁繃帶的自畫像#Self#portrait#with#bandaged#ear#and#pipe#VanGogh068,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh068.webp
超現實主義,Magritte020,校長 The Schoolmaster,瑪格利特 Rene Magritte,水粉．紙 Gouache on paper,#The#Schoolmaster#Magritte020,男子,https://www.ss.net.tw/images/product_images/popup_images/Magritte020.webp
後期印象主義,Gauguin003,畫向日葵的梵谷 Van Gogh Painting Sunflowers,高更 Paul Gauguin,油彩．畫布 Oil on Canvas,#畫向日葵的梵谷#Van#Gogh#Painting#Sunflowers#Gauguin003,男子,https://www.ss.net.tw/images/product_images/popup_images/Gauguin003.webp
寫實主義,Millet073,播種者 The Sower,米勒 Jean Francois Millet,油彩．畫布 Oil on Canvas,#播種者#The#Sower#Millet073,男子,https://www.ss.net.tw/images/product_images/popup_images/Millet073.webp
