,0
0,油彩．紅木 Oil on mahogany
1,水彩．鉛筆．藍色紙 Watercolor and pencil on blue paper
2,水彩．粉筆 Watercolor and gouache with pen and brown ink and black chalk
3,粉彩．紙 Pastel on paper
4,水粉．蠟筆 Gouache and pastel
5,水彩．墨水．鉛筆．蠟筆．紙 gouache. encre de Chine. crayon et pastel sur papier
6,油彩．橡木 Oil on oak
7,油墨．紙．畫板 Oil on paper laid on panel
8,絲網版畫 Screen Prints
9,蛋彩．楊木 tempera on poplar
10,墨水．水彩．紙 Ink and watercolor on paper
11,印花絲絨 Printed velours
12,石版印刷 Lithograph printed in colors
13,"油彩．紙．畫布 Oil on paper, mounted on canvas"
14,臘筆 pastel
15,粉彩．水粉．紙 pastel and gouache on paper
16,橡木鑲嵌畫 Oak inlaid with various woods. panels & metalwork painted
17,油彩．水粉 Oil and gouache over etching
18,油彩．畫板 Oil on board
19,蠟筆．紙．木板 Tempera and pastel on paper mounted on wood
20,油墨．紙．胡桃木板 Oil on paper mounted on walnut panel
21,蛋彩．木板 Tempera on wood
22,蛋彩．畫板 Tempera on panel
23,粉彩．石墨．紙 Pastel and graphite on light brown laid paper
24,油彩．畫布 Oil on Canvas
25,油彩．木板 Oil on wood
26,木炭．蠟筆．紙 Charcoal and pastel on paper monotype on laid paper
27,粉蠟筆 pastel
28,粉蠟．紙板 Pastel on paper mounted on cardboard
29,蛋彩．紙 tempera on paper
30,蠟筆．紙 Conté crayon and pastel on laid paper
31,彩色紙．粉筆 Pastel on colored paper
32,蛋彩．畫板 Tempera on poplar panel
33,單刷版畫上粉彩 pastel over monotype on paper
34,鋼筆．墨水．水彩 pen and ink and watercolor
35,粉蠟蛋彩．紙板 Pastel and tempera on paper. mounted to paperboard
36,油彩．畫布 Oil on canvas
37,彩色印刷 Color lithograph
38,油彩．畫布 Oil on paper laid down on canvas
39,油彩．紙板 Oil on cardboard
40,油彩．炭粉．畫板 oil and charcoal on cradled panel
41,亞麻布．絲網印刷 Acrylic and silkscreen on linen
42,粉彩．紙．畫布 Pastel on wove paper. mounted on canvas
43,粉彩．水粉．紙．木板 pastel and gouache on paper mounted on board
44,粉彩．木炭 Pastel and charcoal
45,紙上粉彩 Pastel on paper
46,粉筆．鋼筆．牛皮紙 drawing in chalk. pen. ink and wash tint on vellum
47,粉彩．亞麻布 Gouache on linen canvas
48,版畫．紙 Lithograph on paper
49,墨水．木炭．蠟筆．水彩．紙 Pen and ink. charcoal. crayon. watercolor. and gouache on paper
50,鉛筆．水彩．紙 Watercolor over pencil on paper
51,水粉．紙 Gouache on paper
52,油彩．杉木 Oil on spruce
53,水粉畫 Gouache
54,油彩．蠟．畫布 Oil with wax on canvas
55,平版印刷 Lithographic printing
56,粉彩畫 Pastel Painting
57,粉彩．水彩．鋼筆．墨水．紙 pastel. gouache. watercolour and pen and ink on paper
58,粉臘．紙 pastel on paper
59,油畫．織布 oil on fabric
60,厚紙上粉彩 Pastel on paper
61,油彩．畫布．鉛筆 Olio e matita su tela
62,粉彩．畫布 pastel on canvas
63,粉蠟．描圖紙 Pastel on tracing paper. laid down on board
64,亞麻．蛋彩畫 Glue-size Tempera on Linen
65,蠟筆．水粉．水彩．紙 Crayon. Gouache. Watercolor on paper
66,油墨．紙．帆布 Oil and gum tempera on paper. glued to canvas
67,綜合素材 Mixed Media
68,畫布．木板 canvas on wood
69,油彩．畫布．畫板 Oil on canvas laid down on panel
70,油墨．纖維板 Oil on masonite
71,彩．畫布 Oil on canvas
72,油彩．厚紙 Oil on millboard
73,紅色粉筆．紙 Red chalk on paper
74,油彩．紙．木板 Oil on paper laid down on panel
75,油彩．橡木板 Oil on oak panel
76,油彩．銅 Oil on copper
77,水彩．紙 Watercolour on paper
78,粉筆．紙 pastel on beige paper
79,水粉．木炭．粉彩．畫布 gouache. charcoal. pastel and metallic paint on canvas
80,炭筆．粉彩．蠟筆．紙 Pastel and crayon noir on paper
81,粉蠟．紙 Pastel on paper
82,粉蠟．畫布 pastel on canvas
83,水粉．蛋彩．紙 Gouache and tempera on paper
84,油彩．粗麻布 Oil on burlap
