"年月","國別","基隆市[金額，新台幣]","基隆市[筆數]","新竹市[金額，新台幣]","新竹市[筆數]","新竹縣[金額，新台幣]","新竹縣[筆數]","苗栗縣[金額，新台幣]","苗栗縣[筆數]","彰化縣[金額，新台幣]","彰化縣[筆數]","南投縣[金額，新台幣]","南投縣[筆數]","雲林縣[金額，新台幣]","雲林縣[筆數]","嘉義市[金額，新台幣]","嘉義市[筆數]","嘉義縣[金額，新台幣]","嘉義縣[筆數]","屏東縣[金額，新台幣]","屏東縣[筆數]","宜蘭縣[金額，新台幣]","宜蘭縣[筆數]","花蓮縣[金額，新台幣]","花蓮縣[筆數]","台東縣[金額，新台幣]","台東縣[筆數]","澎湖縣[金額，新台幣]","澎湖縣[筆數]","金門縣[金額，新台幣]","金門縣[筆數]","連江縣[金額，新台幣]","連江縣[筆數]"
"103年01月","英國","20933333","30063","44557845","47532","40468406","48226","20359334","33470","48555449","55884","12785251","20240","15573951","24652","8949031","16239","9996641","17893","21982087","30514","14986884","22707","10353676","16257","5338661","8542","2125610","3919","1422078","2295","167982","450"
"103年01月","日本","20238233","3895","39377647","8875","36189037","7602","9674084","2553","26406587","5885","12401792","1654","7843460","1716","9636495","2316","5435469","1146","12571827","2850","8588414","2014","4385860","1077","2556037","575","1118099","326","866470","217","150593","21"
"103年01月","美國","9714485","2318","37100478","7347","30007256","5471","9809759","2030","18319836","3687","4770190","1248","8191357","1336","6064078","1268","4803527","1164","11427809","2324","5980572","1646","5354912","1239","1993838","458","622257","172","411490","172","163748","12"
"103年01月","中國","9576800","3329","23265470","7044","23501340","6859","7658557","2955","18924267","6037","6731280","1679","6321810","2001","5523434","1747","4060886","1526","7770638","2549","6396814","2467","3602039","1394","1488303","679","550737","257","1563625","207","62194","53"
"103年01月","澳門","2036666","157","4221387","326","4067861","264","1830363","140","75792207","269","951547","78","1578255","72","1034434","71","1437103","80","698620","110","1275419","78","636818","81","490372","30","41038","14","215857","11","22507","1"
"103年01月","新加坡","6964331","1679","16453891","3490","13458811","2819","6002280","1457","11564772","2741","2501401","911","3243834","852","3761073","811","11981506","697","3979210","1194","4645966","910","3055247","694","1461986","317","447919","134","499641","139","33362","14"
"103年01月","香港","6482260","1292","13951532","2648","12041074","2414","4577500","1078","10966537","2127","3257588","721","3065737","667","4261142","602","2557846","514","4736144","1033","2563228","578","2716735","504","573421","166","621922","145","307878","65","8024","14"
"103年01月","法國","15592873","127","7908895","578","5101927","448","2027783","172","11327829","489","1047403","107","1448718","107","735676","81","500971","48","2434594","158","3536663","226","1134064","78","183016","80","77241","13","161692","7","0","0"
"103年01月","南韓","3640294","571","8923568","1694","8031690","1629","4159280","721","7892872","1223","1856991","304","2308151","455","2621616","385","2093792","305","3484152","643","3355443","568","2145928","353","766856","169","713673","111","356835","89","185389","25"
"103年01月","盧森堡","2575891","5276","6823501","13220","5564495","11375","2741378","5776","3888801","8771","1535758","3397","1185542","2910","1150117","2380","988350","2173","2004505","3746","1747710","3702","1148451","2553","500182","967","260878","433","184320","429","38640","77"
"103年02月","英國","21352223","29019","43471891","42899","39152123","43973","20762766","31138","48549335","52750","13389973","19103","15586342","22906","9466345","14881","10269757","17408","21872791","29918","14880951","23400","11067230","16370","5867584","9008","1868885","3652","1688859","2512","239334","495"
"103年02月","日本","12632964","3020","39085740","7418","28691909","5674","8758439","2129","25953188","5248","6243883","1523","7098245","1592","8857936","1790","5699284","1195","12422480","2487","8926236","1886","4296325","930","2268229","416","1226732","220","948074","204","70507","20"
